target,unit_format,model,val_mae,val_mse,val_rmse,val_R2,test_mae,test_mse,test_rmse,test_R2
PIK3CD_str_act_minus,ic50,MPNN_net,0.0975329,0.0353185,0.1879321,0.5018844,0.1044723,0.03752,0.1937008,0.4696698
PIK3CD_str_act_minus,ic50,svm,,,,,0.0873361,0.0314878,0.177448,0.5549326
PIK3CD_str_act_minus,ic50,xgboost,,,,,0.1025645,0.0317572,0.1782055,0.5511247
PIK3CD_str_act_minus,ic50,rf,,,,,0.0898045,0.0320471,0.179017,0.5470272
Janus_kinase_3_str_act_plus,ic50,ChemProp_DMPNN,0.004579,0.00009,0.009474,0.881493,0.005015,0.000084,0.009168,0.878639
Janus_kinase_3_str_act_plus,ic50,MPNN_net,0.0069814,0.0002874,0.0169527,0.620555,0.0067234,0.0001268,0.0112624,0.8168678
Janus_kinase_3_str_act_plus,ic50,svm,,,,,0.0080793,0.0001278,0.011306,0.8154471
Janus_kinase_3_str_act_plus,ic50,xgboost,,,,,0.0055292,0.0000926,0.009622,0.86633
Janus_kinase_3_str_act_plus,ic50,rf,,,,,0.0040121,0.0001118,0.0105747,0.8385488
Janus_kinase_3_str_act_minus,ic50,ChemProp_DMPNN,0.10705,0.035408,0.188169,0.544547,0.10557,0.036625,0.191376,0.512314
Janus_kinase_3_str_act_minus,ic50,MPNN_net,0.1293571,0.0505348,0.2247995,0.3499651,0.1226363,0.0482098,0.2195674,0.358054
Janus_kinase_3_str_act_minus,ic50,svm,,,,,0.0931369,0.0321809,0.1793904,0.5714895
Janus_kinase_3_str_act_minus,ic50,xgboost,,,,,0.1059781,0.032266,0.1796274,0.5703568
Janus_kinase_3_str_act_minus,ic50,rf,,,,,0.0910602,0.0314931,0.177463,0.5806485
C_C_chemokine_receptor_type_3_str_act_plus,ic50,ChemProp_DMPNN,0.002846,0.000096,0.009799,0.992494,0.007339,0.003593,0.059938,0.701858
C_C_chemokine_receptor_type_3_str_act_plus,ic50,MPNN_net,0.0053933,0.001747,0.0417975,0.8634517,0.0076567,0.0039011,0.0624587,0.6762525
C_C_chemokine_receptor_type_3_str_act_plus,ic50,svm,,,,,0.0123791,0.0040479,0.0636233,0.6640669
C_C_chemokine_receptor_type_3_str_act_plus,ic50,xgboost,,,,,0.0062631,0.0024391,0.049387,0.7975837
C_C_chemokine_receptor_type_3_str_act_plus,ic50,rf,,,,,0.004659,0.0025498,0.0504957,0.788393
C_C_chemokine_receptor_type_3_str_act_minus,ic50,ChemProp_DMPNN,0.051858,0.013929,0.118021,0.912228,0.059151,0.017861,0.133646,0.886947
C_C_chemokine_receptor_type_3_str_act_minus,ic50,MPNN_net,0.0447149,0.0159358,0.1262372,0.8995828,0.0513796,0.0213048,0.1459617,0.8651505
C_C_chemokine_receptor_type_3_str_act_minus,ic50,svm,,,,,0.0483087,0.0151754,0.1231886,0.9039468
C_C_chemokine_receptor_type_3_str_act_minus,ic50,xgboost,,,,,0.0562127,0.0191492,0.1383808,0.8787945
